issue_number,slug,title,issue_state,issue_created_at,issue_closed_at,actual_session_elapsed_seconds,actual_session_elapsed_status,actual_session_elapsed_source,github_cycle_time_seconds,github_cycle_time_status,github_cycle_time_source,actual_total_tokens,actual_total_tokens_status,actual_total_tokens_source,row_contract_completeness,row_contract_missing_fields,metric_availability_class,full_metrics_known,row_confidence,notes,source_prompt_relpath,sor_relpath
3902,v0-91-6-create-agent-logic-ai-aws-account,[v0.91.6] Create agent-logic.ai AWS account,closed,2026-06-17T07:59:06Z,2026-06-20T02:27:51Z,unknown,unknown,sor_issue_metrics_truth,239325,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,cycle_only_recovered,no,low,actual_session_elapsed: Derived from the issue-local SOR Issue Metrics Truth section when present. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3902-v0-91-6-create-agent-logic-ai-aws-account.md,.adl/v0.91.6/tasks/issue-3902__v0-91-6-create-agent-logic-ai-aws-account/sor.md
3922,v0-91-6-runtime-observability-schedule-runtime-logging-and-observability-completion,[v0.91.6][runtime-observability] Schedule runtime logging and observability completion,closed,2026-06-17T14:58:25Z,2026-06-18T23:54:46Z,1800,derived,sor_execution_window,118581,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3922-v0-91-6-runtime-observability-schedule-runtime-logging-and-observability-completion.md,.adl/v0.91.6/tasks/issue-3922__v0-91-6-runtime-observability-schedule-runtime-logging-and-observability-completion/sor.md
3925,v0-91-6-quality-add-repo-quality-and-documentation-staleness-checks,[v0.91.6][quality] Add repo-quality and documentation-staleness checks,closed,2026-06-17T15:17:47Z,2026-06-18T22:30:02Z,5700,derived,sor_execution_window,112335,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3925-v0-91-6-quality-add-repo-quality-and-documentation-staleness-checks.md,.adl/v0.91.6/tasks/issue-3925__v0-91-6-quality-add-repo-quality-and-documentation-staleness-checks/sor.md
3927,v0-91-6-tools-add-sprint-review-skill,[v0.91.6][tools] Add sprint-review skill for sprint and mini-sprint reviews,closed,2026-06-17T15:37:24Z,2026-06-19T00:22:17Z,2850,derived,sor_execution_window,117893,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3927-v0-91-6-tools-add-sprint-review-skill.md,.adl/v0.91.6/tasks/issue-3927__v0-91-6-tools-add-sprint-review-skill/sor.md
3934,v0-91-6-docs-templates-create-reusable-repo-readme-planning-template,[v0.91.6][docs][templates] Create reusable repo README planning template,closed,2026-06-17T16:00:01Z,2026-06-18T18:22:34Z,1386,derived,sor_execution_window,94953,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3934-v0-91-6-docs-templates-create-reusable-repo-readme-planning-template.md,.adl/v0.91.6/tasks/issue-3934__v0-91-6-docs-templates-create-reusable-repo-readme-planning-template/sor.md
3935,v0-91-6-tools-csdlc-converge-github-pr-truth-on-sor-and-define-card-projection-policy,[v0.91.6][tools][csdlc] Converge GitHub PR truth on SOR and define card projection policy,closed,2026-06-17T16:03:02Z,2026-06-17T16:17:12Z,unknown,unknown,sor_issue_metrics_truth,850,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,cycle_only_recovered,no,low,actual_session_elapsed: Derived from the issue-local SOR Issue Metrics Truth section when present. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3935-v0-91-6-tools-csdlc-converge-github-pr-truth-on-sor-and-define-card-projection-policy.md,.adl/v0.91.6/tasks/issue-3935__v0-91-6-tools-csdlc-converge-github-pr-truth-on-sor-and-define-card-projection-policy/sor.md
3945,v0-91-6-tools-replace-historical-manual-github-provenance-with-adl-native-proof-where-useful,[v0.91.6][tools] Replace historical manual GitHub provenance with ADL-native proof where useful,closed,2026-06-17T17:01:21Z,2026-06-18T23:41:05Z,2700,derived,sor_execution_window,110384,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3945-v0-91-6-tools-replace-historical-manual-github-provenance-with-adl-native-proof-where-useful.md,.adl/v0.91.6/tasks/issue-3945__v0-91-6-tools-replace-historical-manual-github-provenance-with-adl-native-proof-where-useful/sor.md
3946,v0-91-6-provider-sanitize-private-lan-endpoint-fixtures-before-durable-proof-packets,[v0.91.6][provider] Sanitize private LAN endpoint fixtures before durable proof packets,closed,2026-06-17T17:01:25Z,2026-06-19T00:58:48Z,2400,derived,sor_execution_window,115043,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3946-v0-91-6-provider-sanitize-private-lan-endpoint-fixtures-before-durable-proof-packets.md,.adl/v0.91.6/tasks/issue-3946__v0-91-6-provider-sanitize-private-lan-endpoint-fixtures-before-durable-proof-packets/sor.md
3963,github-token-loading-deterministic-reusable,[v0.91.6][tools] Make GitHub token loading deterministic and reusable,closed,2026-06-17T21:29:44Z,2026-06-18T06:52:11Z,2758,derived,sor_execution_window,33747,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3963-github-token-loading-deterministic-reusable.md,.adl/v0.91.6/tasks/issue-3963__github-token-loading-deterministic-reusable/sor.md
3965,v0-91-6-tools-fix-github-release-publish-for-draft-releases,[v0.91.6][tools] Fix GitHub release publish for draft releases,closed,2026-06-17T21:41:34Z,2026-06-18T17:39:32Z,2400,derived,sor_execution_window,71878,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3965-v0-91-6-tools-fix-github-release-publish-for-draft-releases.md,.adl/v0.91.6/tasks/issue-3965__v0-91-6-tools-fix-github-release-publish-for-draft-releases/sor.md
